week,day,date,hour,result,OT,wld,where,opponent,points_scored,points_allowed,of_first_downs,of_total_yards,of_pass_yards,of_rush_yards,of_turnovers,def_first_downs,def_total_yards,def_pass_yards,def_rush_yards,def_turnovers
1,Sun,September 8,8:20PM ET,W,0,1-0,out,Pittsburgh Steelers,33.0,3.0,24.0,465.0,366.0,99.0,0,15.0,308.0,276.0,32.0,1.0
2,Sun,September 15,1:00PM ET,W,0,2-0,home,Miami Dolphins,43.0,0.0,27.0,379.0,255.0,124.0,1.0,11.0,184.0,142.0,42.0,4.0
3,Sun,September 22,1:00PM ET,W,0,3-0,out,New York Jets,30.0,14.0,21.0,381.0,313.0,68.0,2.0,6.0,105.0,69.0,36.0,1.0
4,Sun,September 29,1:00PM ET,W,0,4-0,home,Buffalo Bills,16.0,10.0,11.0,224.0,150.0,74.0,1.0,23.0,375.0,240.0,135.0,4.0
5,Sun,October 6,1:00PM ET,W,0,5-0,home,Washington Redskins,33.0,7.0,23.0,442.0,312.0,130.0,1.0,11.0,223.0,78.0,145.0,2.0
6,Thu,October 10,8:20PM ET,W,0,6-0,out,New York Giants,35.0,14.0,27.0,427.0,313.0,114.0,2.0,10.0,213.0,161.0,52.0,4.0
7,Mon,October 21,8:15PM ET,W,0,7-0,home,New York Jets,33.0,0.0,22.0,323.0,249.0,74.0,1.0,12.0,154.0,73.0,81.0,6.0
8,Sun,October 27,4:25PM ET,W,0,8-0,out,Cleveland Browns,27.0,13.0,19.0,318.0,239.0,79.0,0,15.0,310.0,151.0,159.0,3.0
9,Sun,November 3,8:20PM ET,L,0,8-1,home,Baltimore Ravens,20.0,37.0,22.0,342.0,268.0,74.0,2.0,26.0,372.0,162.0,210.0,2.0
11,Sun,November 17,4:25PM ET,W,0,9-1,home,Philadelphia Eagles,17.0,10.0,19.0,298.0,224.0,74.0,0,21.0,255.0,174.0,81.0,1.0
12,Sun,November 24,4:25PM ET,W,0,10-1,out,Dallas Cowboys,13.0,9.0,17.0,282.0,181.0,101.0,0,16.0,321.0,212.0,109.0,1.0
13,Sun,December 1,8:20PM ET,L,0,10-2,home,Houston Texans,22.0,28.0,29.0,448.0,303.0,145.0,1.0,16.0,276.0,224.0,52.0,0
14,Sun,December 8,4:25PM ET,L,0,10-3,out,Kansas City Chiefs,16.0,23.0,17.0,278.0,184.0,94.0,1.0,20.0,346.0,271.0,75.0,2.0
15,Sun,December 15,1:00PM ET,W,0,11-3,home,Cincinnati Bengals,34.0,13.0,19.0,291.0,116.0,175.0,0,19.0,315.0,151.0,164.0,5.0
16,Sat,December 21,4:30PM ET,W,0,12-3,out,Buffalo Bills,24.0,17.0,23.0,414.0,271.0,143.0,1.0,14.0,268.0,176.0,92.0,0
17,Sun,December 29,1:00PM ET,L,0,12-4,out,Miami Dolphins,24.0,27.0,18.0,352.0,217.0,135.0,2.0,26.0,389.0,326.0,63.0,0
Wild Card,Sat,January 4,8:15PM ET,L,0,12-5,out,Tennessee Titans,13.0,20.0,18.0,307.0,209.0,98.0,2.0,19.0,272.0,71.0,201.0,1.0
